overall_accuracy,pixel_accuracy,pixel_accuracy_fg,frequency_weighted_iou,frequency_weighted_iou_fg,mean_iou,mean_boundary_f1,branch_recall,iou_background,precision_background,recall_background,f1_background,boundary_f1_background,iou_trunk,precision_trunk,recall_trunk,f1_trunk,boundary_f1_trunk,iou_branches,precision_branches,recall_branches,f1_branches,boundary_f1_branches,iou_support,precision_support,recall_support,f1_support,boundary_f1_support,stem
0.9809765625,0.9809765625,0.916000355366027,0.9676158870745658,0.8558657644098966,0.7337590511879188,0.7484378097223501,0.8811066492572223,0.9896794666511395,0.995822726593647,0.9938052528181858,0.9948129668012731,0.9877734629915463,0.415723555153155,0.45537190082643875,0.8268307322928924,0.587294819822016,0.4477262802890043,0.8395736989131181,0.9468403356895111,0.8811066492572223,0.9127915879241321,0.9185607954870006,0.9459798994974836,0.9564451364418547,0.9885656206326983,0.9722401548886798,0.8790263533910455,A_Drvo0000_0000-0
0.98384033203125,0.98384033203125,0.9456568158524086,0.969704374254941,0.894989906430796,0.7818462610292559,0.7559100578090554,0.9651270169076026,0.9918546069421964,0.9966620173714572,0.9951604122353891,0.9959106487345976,0.9893932335377177,0.5424028268551045,0.6590811507084302,0.7539292730844424,0.7033218785298035,0.534183572988202,0.9057561098592867,0.9364024370377595,0.9651270169076026,0.9505477695973701,0.9352811651127448,0.8973798463733768,0.9714708299096106,0.921668901431286,0.9459148077715825,0.7982654353262195,A_Drvo0000_0000-1
0.98226806640625,0.98226806640625,0.9367992608684795,0.9674509932228451,0.8807966485292087,0.7944203069010666,0.7943717349943434,0.9199784211472736,0.9885143216110752,0.9951293222704287,0.9933203037273977,0.994223990059551,0.9901413393862714,0.568199532346055,0.6773833859877221,0.7790126095319346,0.7246520874253782,0.5604693634228802,0.8667146668925482,0.9373826210434681,0.9199784211472736,0.9285989789630483,0.9413542853978997,0.9483467214645964,0.9623696682464425,0.9848675914249654,0.9734886619184585,0.8812915561622502,A_Drvo0000_0000-2
0.992646484375,0.992646484375,0.9523690721220816,0.9860277766415682,0.9157068358700996,0.8546196694878692,0.8851692933146723,0.9432169686257129,0.9953842291276384,0.997368217354284,0.9980055380206414,0.9976867758576256,0.9987499255407968,0.7233091112353067,0.8728499156829385,0.8084973445797935,0.8394421017988944,0.7449074689954189,0.8730061349693208,0.9214331966328464,0.9432169686257129,0.9321978381419441,0.9436225290996675,0.9675437622589802,0.9913920594592508,0.9757408375009294,0.9835041850341714,0.9669778818489302,A_Drvo0000_0000-3
0.98369873046875,0.98369873046875,0.9387882937346134,0.9703704507152217,0.8759514529933032,0.8022998330540533,0.8246027531838839,0.904441746817316,0.9893806396169661,0.9965904674416136,0.9927409349675759,0.994661976561435,0.980454073899023,0.6256359757098207,0.6318581137079292,0.9845041322313796,0.769712266484419,0.6447632397149995,0.855498307080816,0.9405081728434992,0.904441746817316,0.9221224333859593,0.9413770809933087,0.925765216371523,0.9558057876256176,0.9671649105611341,0.9614517994749973,0.8876679388433436,A_Drvo0000_0000-4
0.9884619140625,0.9884619140625,0.9420953363532314,0.978373014958125,0.8917882783869372,0.8488036068724529,0.8890680628941047,0.9238185488854975,0.9938264698710497,0.9970700904587981,0.9967373197110194,0.9969036772648318,0.9992847557499337,0.7565052231718755,0.7980364656381327,0.935635424007495,0.8613754324762479,0.8052968457174825,0.8523854780459956,0.9168302257114782,0.9238185488854975,0.9203111210943318,0.9326670892205818,0.937520119399488,0.9796342731331388,0.9561557976421401,0.9677526545031484,0.9292402537442499,A_Drvo0000_0000-5
0.98901611328125,0.98901611328125,0.9367737758544314,0.9802041566600592,0.8917734884295929,0.7947754853328867,0.8358357626444782,0.9090909090909053,0.994995438772987,0.9972286387289901,0.9977543843650433,0.9974914422211205,0.9982808638158964,0.5910960561335449,0.6442510548523037,0.8775143678160604,0.7430048661312009,0.6416184970623694,0.837070847390352,0.9135406740015555,0.9090909090909053,0.91131035967777,0.9348905722944625,0.9561595524747629,0.9942777654832254,0.961450276665339,0.9775885113422588,0.9309982185766028,A_Drvo0000_0000-6
0.97861328125,0.97861328125,0.8506117192530586,0.9615063346787532,0.7367367155916669,0.4722773599896337,0.8578134050603214,0.9374663878099763,0.9925428082665763,0.9962270022171221,0.9962878989952874,0.9962574496256176,0.9996396908381219,0.6267978368427073,0.9040743506762849,0.6714532232219853,0.7705909395840017,0.6649410250067702,0.790034243126194,0.8339845307391732,0.9374663878099763,0.8827029383547931,0.9084991901741941,0.0,0.0,0.0,0.0,1.0,A_Drvo0003_0003-0
0.99158203125,0.99158203125,0.9524373396487074,0.983719658211341,0.9060649571133371,0.8993047762004808,0.9531882946295035,0.9524434345697157,0.9934485497521292,0.9969408873900242,0.9964862347766599,0.9967135091856982,0.9992568508557033,0.9030920334667086,0.9460406981175143,0.9521362276597304,0.9490786756897287,0.8889323156162743,0.9081227877456337,0.9512561529118425,0.9524434345697157,0.9518494234543867,0.975868170416798,0.8866995073891001,0.9251101321585223,0.955269143290299,0.9399477806287939,0.9947643978554382,A_Drvo0003_0003-1
0.9841845703125,0.9841845703125,0.9053992996724274,0.9707239814116603,0.8245293488214736,0.5430901466146328,0.8924874202041445,0.9135548864563668,0.9925078765141494,0.9965558474804631,0.9959240578766947,0.9962398524624236,0.998135218302912,0.7853660987989307,0.8708347264014218,0.8889141687048469,0.8797815745270826,0.7644687371740874,0.8439043410449679,0.9171422114243716,0.9135548864563668,0.9153450341362244,0.9129935234383464,0.0,0.0,0.0,0.0,1.0,A_Drvo0003_0003-2
