model,overall_accuracy,pixel_accuracy,pixel_accuracy_fg,frequency_weighted_iou,frequency_weighted_iou_fg,mean_iou,mean_boundary_f1,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support
unet_resnet34,0.9839,0.9839,0.9385,0.9707,0.8828,0.5969,0.8184,0.9455,0.9932,0.6777,0.9022,0.211,0.9957,0.8501,0.9455,0.2218,0.9967,0.6487,0.9499,0.8567
unet_efficientnet_b4_bs2,0.9822,0.9822,0.9363,0.967,0.8736,0.5862,0.7912,0.9513,0.9904,0.6551,0.8927,0.2108,0.9938,0.7712,0.9513,0.2208,0.9949,0.6292,0.9459,0.7985
unet_efficientnet_b4_bs4,0.9838,0.9838,0.9377,0.97,0.8806,0.5969,0.8274,0.951,0.9918,0.6787,0.8995,0.2125,0.995,0.8077,0.951,0.2203,0.9954,0.6485,0.9457,0.8879
deeplabv3_resnet50,0.9789,0.9789,0.9241,0.9608,0.8621,0.597,0.8575,0.9331,0.985,0.7054,0.8756,0.2102,0.9924,0.8455,0.9331,0.2175,0.9952,0.6793,0.9475,0.9459
segformer_b1,0.9805,0.9805,0.9303,0.9635,0.87,0.5992,0.842,0.9367,0.986,0.708,0.8817,0.2078,0.9924,0.8347,0.9367,0.2185,0.9952,0.6897,0.95,0.8863
esanet_resnet34,0.9826,0.9826,0.9376,0.9674,0.8795,0.608,0.8749,0.9442,0.9881,0.7233,0.8891,0.2116,0.9931,0.8615,0.9442,0.2213,0.9946,0.7249,0.9535,0.9463
