overall_accuracy,mean_iou,mean_boundary_f1,branch_recall,iou_background,precision_background,recall_background,f1_background,boundary_f1_background,iou_trunk,precision_trunk,recall_trunk,f1_trunk,boundary_f1_trunk,iou_branches,precision_branches,recall_branches,f1_branches,boundary_f1_branches,iou_support,precision_support,recall_support,f1_support,boundary_f1_support,stem
0.9674644470214844,0.6605593390184302,0.7071497955009677,0.7888179650849774,0.979036606771257,0.9901858960574292,0.9886298747870096,0.9894072735916206,0.9790028120161179,0.3210749646393154,0.34045744281964113,0.8493919550981829,0.48608137040881344,0.3469280338782471,0.7353478868695533,0.915599196607896,0.7888179650849774,0.8474933382411575,0.9017381826059223,0.925255165546422,0.9384547405630543,0.9850261710726762,0.961176660690285,0.872783170018734,A000_0000-0
0.9588470458984375,0.617038319516436,0.6168866323139635,0.8034179045615859,0.9731238551227498,0.9803307019727877,0.9925021623625351,0.9863788859953594,0.9497218458172271,0.22851103804602563,0.24827762184230037,0.74161585365848,0.37201299938890053,0.2699437128051809,0.7576050576422443,0.9300018260393178,0.8034179045615859,0.8620879352894372,0.8556520503083086,0.8649988628610378,0.926302971261564,0.9289273153575571,0.9276132871067198,0.725064133828401,A000_0000-1
0.9528923034667969,0.6021642972926207,0.6731866696876897,0.7568688075328482,0.971151964666747,0.9821891344296279,0.9885612391042479,0.9853648851286375,0.9705860462797927,0.24349969192852441,0.27780120905384115,0.6635325721960825,0.3916361113447718,0.34863378340318535,0.6857233805506902,0.879444784649925,0.7568688075328482,0.8135657230841409,0.8833408832317624,0.8772698193986475,0.9738337157216161,0.8984477371232694,0.9346230470298706,0.7875853424281213,A000_0000-2
0.97442626953125,0.5986776181136714,0.677018699463651,0.733085308876962,0.9874797472803487,0.9918928460717111,0.9955146293087427,0.9937004375334351,0.9823857969304008,0.26089395922946956,0.29636711281070116,0.6855036855036518,0.41382379111773443,0.30226652513289437,0.664444792973646,0.8764870176890361,0.733085308876962,0.7983981153803069,0.8569223737273581,0.8706941021378984,0.9796852831162067,0.8867032453887411,0.9308781174818298,0.8718671995307006,A000_0000-3
0.9638519287109375,0.7022592438882108,0.7155524081252135,0.8249451887941496,0.9710358789787422,0.9818047007555594,0.9888306035963803,0.9853051274059932,0.9457707819502535,0.5874735729386736,0.6333333333333153,0.890268321986348,0.7401365073594214,0.6135230965351481,0.7410714285714254,0.8793560114255993,0.8249451887941496,0.8512820512320981,0.8950945488683292,0.7782327301545336,0.9045133558489362,0.8478917829903543,0.8752878258432366,0.6380395789721632,A000_0000-4
0.9692611694335938,0.7318035425061664,0.7726635289261269,0.8211439588688894,0.9744770169682855,0.9805912265599342,0.9936421435059033,0.9870735476224364,0.9470993749709441,0.6635155096011621,0.7760884588804154,0.8206065034709236,0.7977268690673964,0.7436570428204788,0.7294890094204927,0.8672956828672219,0.8211439588688894,0.8435890663702088,0.8846428461898153,0.8024061084968446,0.9435685946961739,0.8428538120774035,0.8903721582713783,0.6896906977680863,A000_0000-5
0.9756431579589844,0.6634088725960793,0.7244315674524412,0.7468720570429117,0.9838932209590892,0.9898841623501025,0.9938863656603434,0.9918812267868334,0.9762501722581228,0.3706293706293617,0.3911936879613033,0.8757834757834259,0.5408163264879077,0.387123259517445,0.679331864904548,0.8825212622208022,0.7468720570429117,0.8090501693677633,0.8688554360172472,0.9402653822543282,0.9883847910255089,0.9507711407152704,0.9692131713584204,0.9173160068226311,A000_0000-6
0.973663330078125,0.47636549357030217,0.8838341320832162,0.8832385569124598,0.9829541791487401,0.9896877325994007,0.9931258793489774,0.991403825096087,0.9783456829402537,0.6755072979708021,0.9014251781472576,0.7293868921775828,0.8063316689189958,0.7489795831313538,0.7535891827401044,0.8369699646643073,0.8832385569124598,0.8594820156437775,0.9025228131182946,0.0,0.0,0.0,0.0,1.0,A001_0003-0
0.9807586669921875,0.5520019665260939,0.6022678534156037,0.9101376720901082,0.983960494583317,0.9910124489148964,0.99282001982756,0.9919154108362171,0.9802827528904487,0.8359788359788267,0.90989802039591,0.911428914793884,0.9106628241574819,0.8643904800420179,0.8200270635994551,0.8922699386503025,0.9101376720901082,0.9011152415856882,0.9424130802047932,0.0,0.0,0.0,0.0,0.0,A001_0003-1
0.9646492004394531,0.42391578379797457,0.8577678129020375,0.8244711263579152,0.9800635404312782,0.9875739825625768,0.9923001073690204,0.9899314040884858,0.9760751596117232,0.5797832304681576,0.7886761543974528,0.6864195330600544,0.7340035256065294,0.6940239334970854,0.6919641209257662,0.8115151515151481,0.8244711263579152,0.817941837330282,0.8792795052090269,0.0,0.0,0.0,0.0,1.0,A001_0003-2
0.978179931640625,0.435287702770686,0.8569939101736037,0.8625031637560057,0.9863934046670081,0.9912663755458512,0.995040998306682,0.9931501003777283,0.9770539607849996,0.5760349774559287,0.8498286635758748,0.6413142683297742,0.7309926310736352,0.6798703133202311,0.7298281308561294,0.8259209888511827,0.8625031637560057,0.8438157731331308,0.8911114172005802,0.0,0.0,0.0,0.0,1.0,A001_0003-3
0.9721183776855469,0.4236823043139752,0.8639626604544386,0.8970266221044089,0.9846828148860594,0.9910962975543475,0.9934711457841219,0.9922823006788345,0.9827393631409225,0.5654445196865574,0.9206174200661377,0.5944269297264253,0.722407613349911,0.7016348484384293,0.7056023932553681,0.7677928483353846,0.8970266221044089,0.8273937653971598,0.8902531329248864,0.0,0.0,0.0,0.0,1.0,A001_0003-4
0.9653511047363281,0.4700373194491661,0.894795030357602,0.8222031657555264,0.9757755323147673,0.9859518053985457,0.9895332098604872,0.987739261172224,0.9789956484162851,0.6691124091750914,0.7658377496942457,0.8412144008597453,0.8017583542670337,0.763252808920877,0.740999549172407,0.882391287675432,0.8222031657555264,0.8512346249384991,0.9211322821519288,0.0,0.0,0.0,0.0,1.0,A001_0003-5
0.9742240905761719,0.4759226882754854,0.882390641468235,0.8677223851417366,0.9836729028312154,0.9889924421165559,0.9945617135865057,0.991769259314545,0.9782813578945604,0.6477054967221316,0.825343786145729,0.7505843852267327,0.7861908550642609,0.7439477232261137,0.7800625681043244,0.8853426952844455,0.8677223851417366,0.876443988022907,0.9032242011785914,0.0,0.0,0.0,0.0,1.0,A001_0003-6
0.9216804504394531,0.40040989333913996,0.4462374174801156,0.9065636322826809,0.9461185189877421,0.9584063243947352,0.9866299386324747,0.9723133608853536,0.9596531811266502,0.3826556870818303,0.769270563890318,0.4322674418604626,0.5535082821054275,0.45807993762799154,0.8185739929355895,0.8939984822294353,0.9065636322826809,0.9002372145097747,0.8806323148123552,0.0,0.0,0.0,0.0,0.0,B000_0
0.9565887451171875,0.5095582458443213,0.5054745226592406,0.9196951150518933,0.9550151787373764,0.9661848768991621,0.9880396115758094,0.9769900398474575,0.974322065941786,0.6385713019586933,0.7513034410844551,0.8097325241627241,0.779424491512156,0.5905129592185175,0.8901034355742706,0.9651130156948242,0.9196951150518933,0.9418568516136311,0.9259106087592044,0.0,0.0,0.0,0.0,0.0,B000_1
0.9517707824707031,0.44732940146026373,0.49966367445927046,0.8319194887894354,0.9691957874581135,0.9813487274190182,0.9873836880401065,0.9843569578827362,0.9724509410914655,0.584834925625828,0.6893307675860545,0.7941538714180081,0.7380389163943494,0.5930650041876304,0.7571532787549632,0.8938969831814136,0.8319194887894354,0.8617953685264994,0.9059260191901809,0.0,0.0,0.0,0.0,0.0,B000_10
0.9624061584472656,0.5320482857830736,0.892075370051078,0.9101765759617833,0.9612186001354944,0.9749381841004632,0.9855712168200882,0.9802258657143651,0.9815864646298942,0.72364059840544,0.7870226032735699,0.899855185473979,0.8396652980116462,0.7186288864354665,0.8725042589437807,0.9547101719432707,0.9101765759617833,0.9319116415672621,0.9575972237177673,0.0,0.0,0.0,0.0,1.0,B000_11
