overall_accuracy,mean_iou,mean_boundary_f1,branch_recall,iou_background,precision_background,recall_background,f1_background,boundary_f1_background,iou_trunk,precision_trunk,recall_trunk,f1_trunk,boundary_f1_trunk,iou_branches,precision_branches,recall_branches,f1_branches,boundary_f1_branches,iou_support,precision_support,recall_support,f1_support,boundary_f1_support,stem
0.972747802734375,0.763432119972685,0.8037392489856376,0.8962931631162006,0.9771273308858272,0.9945383494808885,0.9823989182620927,0.9884313625856469,0.9705306487809039,0.6168284789643813,0.6668999300209704,0.8914873713750752,0.7630104082776692,0.6441876702879666,0.7937951232802044,0.8740765740428212,0.8962931631162006,0.8850454691657317,0.9171519257416002,0.8796727576734691,0.8991088867187446,0.9760153713642021,0.9359850048743087,0.849878150927346,A000_0000-0
0.9705009460449219,0.7090894646394229,0.7029728022215549,0.9605363481004312,0.9765679857404502,0.993366931556523,0.9829778821203505,0.9881451007365184,0.9640536349057066,0.425270758122713,0.8897280966766027,0.4489329268292341,0.5967578520323619,0.5120578777672988,0.8402870417222483,0.8703337541987257,0.9605363481004312,0.913213017997412,0.8855528499220983,0.8617105940733072,0.9539282752902107,0.8991305197342668,0.925719171142958,0.7113076789752678,A000_0000-1
0.9687767028808594,0.7543310177220666,0.8252642855352659,0.9095987632632953,0.9722209163477717,0.9911241894592557,0.9807599282943342,0.9859148214479546,0.9783066166689899,0.5537621057859311,0.6800853918877499,0.7488247145735142,0.7128016620884979,0.6688691349455823,0.7843487745023758,0.8506604455543115,0.9095987632632953,0.87914289590224,0.9299642717844427,0.9248821728778926,0.9626276929301054,0.9593286967039566,0.9609753634394945,0.8769594498757723,A000_0000-2
0.9872055053710938,0.8418980410649078,0.9190636797537245,0.889859837342093,0.9881433945753024,0.9926741505246597,0.9954022789831427,0.9940363428732273,0.988382914036161,0.7748257839720917,0.872058823529369,0.8742014742014312,0.8731288343057854,0.8414317103882882,0.8044583496284645,0.8934155663655239,0.889859837342093,0.8916341568637333,0.9468758555115065,0.9464099895941673,0.9899619036100806,0.9555802007938307,0.9724672546947305,0.9688834733613788,A000_0000-3
0.97186279296875,0.7607032994400883,0.8237608912284983,0.8571498172959764,0.9759929744413448,0.9930829170274132,0.9826732333066083,0.9878506523211501,0.967824473054936,0.636885245901622,0.6671436748711886,0.9335202242690855,0.7781672508276731,0.7612558449736355,0.7732507032348771,0.8876387487386435,0.8571498172959764,0.8721278968393406,0.9266291697928063,0.871973949183766,0.8909074990150118,0.9762076078092725,0.9316090638091069,0.7833976589190529,A000_0000-4
0.9765739440917969,0.7866699967269438,0.8484940310082262,0.8666452442159327,0.980855619275794,0.9940251045266963,0.9866727817195885,0.9903352972135107,0.9800163414660831,0.7175637393767502,0.7615754660252326,0.925465838509283,0.8355599537686861,0.7645955864176401,0.762036618444842,0.863260994814667,0.8666452442159327,0.864949809128661,0.9190888512546266,0.8804096323592387,0.9156417112299425,0.9581254371648359,0.9364019596173339,0.8617976553524117,A000_0000-5
0.982086181640625,0.7656744372565578,0.8693105863404851,0.8790528723261074,0.9859219133097883,0.9938700941792659,0.9919538694451862,0.9929110572298157,0.9883443812538651,0.5802337938363238,0.6053215077605097,0.9333333333332802,0.7343644922185474,0.7350399778295957,0.7710189391704481,0.8625173255890644,0.8790528723261074,0.8707065995435624,0.9324609623534085,0.9457705787629017,0.9915094339622593,0.9534928138280049,0.972129591265157,0.9404308188384508,A000_0000-6
0.9753952026367188,0.5081422679430186,0.895461915192919,0.9050526708306101,0.9816601732910613,0.994599704165317,0.9869204981674797,0.9907452210751339,0.9887815713799364,0.7497918401332161,0.8488076161749378,0.865366134922152,0.8570068997834488,0.7701292158684921,0.77463496369584,0.8431542837292074,0.9050526708306101,0.873007665799934,0.9162565297102647,0.0,0.0,0.0,0.0,1.0,A001_0003-0
0.9809379577636719,0.7909685582539406,0.912945858452495,0.9415769712140128,0.9826223720932217,0.9957987378888871,0.9867129595852517,0.991235028792921,0.9909879591443443,0.8464771596062289,0.9140093156574595,0.9197211873572777,0.9168563555268434,0.8649069596770811,0.8166029871483119,0.860187514292244,0.9415769712140128,0.8990439770055471,0.9535321189015098,0.7098255280072809,0.7556207233625849,0.9213349225267078,0.8302900106915375,0.920398496778894,A001_0003-1
0.9727401733398438,0.4951173681198419,0.8892091235447678,0.8433830320622737,0.9815615246999827,0.993164591527088,0.9882376142165344,0.9906949770828404,0.9891519892374534,0.7319339053967752,0.7818939393939335,0.9197112814115049,0.8452215215292254,0.7764546563352577,0.7534181989627505,0.8759764286693122,0.8433830320622737,0.8593707985517888,0.8911727142990457,0.0,0.0,0.0,0.0,1.0,A001_0003-2
0.9781913757324219,0.43579778197084257,0.8419973702823801,0.9090736522399335,0.9868100691434423,0.9944532686841662,0.992271631507386,0.9933612522098879,0.9896149797647597,0.5706618962432838,0.8568181818181642,0.630818375418305,0.7266514805889545,0.6239841753433966,0.736731449669244,0.7953387953941498,0.9090736522399335,0.8484114798132152,0.9020079355037437,0.0,0.0,0.0,0.0,1.0,A001_0003-3
0.98077392578125,0.5318108908008919,0.9409638741957679,0.889247435749678,0.98402800383869,0.9932492116256936,0.9906536089582345,0.9919497122875237,0.9872928569056637,0.8096492822096965,0.883677112257032,0.9062341096308257,0.894813475875088,0.8857498784318663,0.7857833901929794,0.8710278263814367,0.889247435749678,0.8800433406018211,0.9371417441554375,0.0,0.0,0.0,0.0,1.0,A001_0003-4
0.9666900634765625,0.4877042650255694,0.9000537220776642,0.8624718619358958,0.975548131969805,0.9917785917785914,0.9835015762968008,0.987622742400819,0.9870812403606852,0.7093420677869502,0.7758566978193085,0.8921726670248891,0.8299591768226846,0.7708304908355432,0.7537707272897581,0.856747355718035,0.8624718619358958,0.8596000782961809,0.9293306753974494,0.0,0.0,0.0,0.0,1.0,A001_0003-5
0.9765548706054688,0.5040417571244001,0.8980773102705455,0.902287390029322,0.983674198523837,0.9933954626256223,0.9901496844478161,0.9917699178688235,0.9923651843878877,0.7067364677992818,0.8202453284420403,0.8362552594670309,0.8281729266239924,0.7732406791715032,0.8053888035739187,0.8823461935533176,0.902287390029322,0.8922053819481471,0.9209912516401332,0.0,0.0,0.0,0.0,1.0,A001_0003-6
0.9355125427246094,0.42739637640068295,0.7783538534842758,0.9688652323083325,0.9543319279616901,0.9844754681522244,0.9689132861681954,0.976632387015418,0.975922744952734,0.43689963564093837,0.8964657906660524,0.4601162790697648,0.6081143383599633,0.44320265691589333,0.8452894935611104,0.8688917431896163,0.9688652323083325,0.9161592221325036,0.8918589035369339,0.0,0.0,0.0,0.0,1.0,B000_0
0.9625930786132812,0.5329931329761989,0.5138791754023028,0.9551621629961828,0.957706974252308,0.9829220170132931,0.9739127647982561,0.9783966515919839,0.9774288709871255,0.6921098557913044,0.7911591768164553,0.8468195100022382,0.8180436434198133,0.6119812435655384,0.9068695431372923,0.9471923292701576,0.9551621629961828,0.9511605514424302,0.9296562826413698,0.0,0.0,0.0,0.0,0.0,B000_1
