overall_accuracy,pixel_accuracy,pixel_accuracy_fg,frequency_weighted_iou,frequency_weighted_iou_fg,mean_iou,mean_boundary_f1,branch_recall,iou_background,precision_background,recall_background,f1_background,boundary_f1_background,iou_trunk,precision_trunk,recall_trunk,f1_trunk,boundary_f1_trunk,iou_branches,precision_branches,recall_branches,f1_branches,boundary_f1_branches,iou_support,precision_support,recall_support,f1_support,boundary_f1_support,stem
0.98356201171875,0.98356201171875,0.9334577114427861,0.9694081892521366,0.8734458706668642,0.7963110483009875,0.8069995718186606,0.9181345618486834,0.9883546763071175,0.9948329869141365,0.9934544412741472,0.9941432361484275,0.9855595827994567,0.598728906421201,0.6893767347968537,0.8199279711884507,0.7490061685589896,0.6381369033412285,0.8671211521906027,0.9397821262860577,0.9181345618486834,0.9288322304383716,0.9406391769668042,0.923083086291159,0.9446927145258459,0.975818405115822,0.9600033330055879,0.842222635147949,A_Drvo0000_0000-0
0.98044189453125,0.98044189453125,0.9327276221387085,0.9642381867289926,0.8766365229948097,0.7181437905593985,0.6865369455451686,0.9533907553854145,0.9902090233288057,0.9955738333391416,0.9945875113947125,0.9950804279068494,0.9880121849163604,0.3775100401606309,0.5043334709038174,0.6001964636541944,0.5481049562185736,0.3952974998235881,0.886016102858568,0.9261319154488502,0.9533907553854145,0.9395636670000044,0.9151364649065837,0.8909052286589965,0.9707691290258549,0.9154635317596405,0.942305531878592,0.749176871905334,A_Drvo0000_0000-1
0.97558349609375,0.97558349609375,0.9094064474242765,0.9576521057075513,0.8384373457713727,0.7186627943638868,0.7618763114240048,0.8918135227477052,0.9866299907303682,0.9948758388035704,0.9916693474473905,0.993270005269553,0.9899511948809507,0.4031502212965321,0.5077049180327785,0.6618935670014819,0.5746358659866686,0.5045085903110645,0.8153849315631534,0.9048922340061559,0.8918135227477052,0.8983052765736859,0.9315637763749979,0.9374532302319751,0.9633142161417418,0.9721602483267018,0.9677170169122433,0.8495565675859522,A_Drvo0000_0000-2
0.992529296875,0.992529296875,0.9578785421734339,0.9856576646864988,0.9201794179394915,0.8938933095447049,0.9334030683762199,0.9397923110914664,0.9943697794255572,0.997214184146024,0.9971397036246092,0.9971769424445535,0.9977356691193361,0.8476672287801897,0.8941595019270414,0.9422055607622324,0.9175540005584639,0.899379301558647,0.8739021007755876,0.9257304532346651,0.9397923110914664,0.932708384677131,0.9486947509730379,0.9601105990783375,0.9874497611283803,0.9719713368664591,0.9796494131308602,0.9521351525969749,A_Drvo0000_0000-3
0.98611572265625,0.98611572265625,0.9579005637536965,0.9735148378376127,0.9025716988643272,0.8665042807301021,0.8763858219773453,0.9393967690727397,0.987798430183476,0.9959356298006689,0.9917965232744685,0.9938617670028105,0.9794759204361806,0.7801058201058035,0.8120731438642694,0.9519628099173307,0.8764712875498656,0.7716868628085428,0.8862395019674608,0.9399819354034917,0.9393967690727397,0.9396892610889578,0.9571824291314825,0.9331675201170418,0.9543060626009906,0.9768132810585611,0.9654285108330602,0.9002881739920102,A_Drvo0000_0000-4
0.98803955078125,0.98803955078125,0.9429819612141924,0.9773941077918143,0.8934874504213766,0.8501105655150077,0.8883272636916494,0.9203988298792761,0.9923695849707765,0.9962590466324223,0.996081331081489,0.996170180880896,0.9987180252030335,0.7581646964536013,0.837538733953058,0.888888888888868,0.8624501424001669,0.7895378931627783,0.8499410265190396,0.9173750564658498,0.9203988298792761,0.9188844555462286,0.9413441239803846,0.9422259735723821,0.9743273340155271,0.9662139979107567,0.9702537051245045,0.9340997739317854,A_Drvo0000_0000-5
0.98820068359375,0.98820068359375,0.9372337888029441,0.9789154117429779,0.889386257055813,0.7964238461497924,0.854456862696423,0.8945213155739433,0.9938904312787182,0.997146180557535,0.996725618826694,0.9969358552881672,0.9968797072880571,0.6044247787610486,0.6114592658907652,0.9813218390804245,0.7534473248285717,0.69100672526721,0.8268717376578841,0.9162030905077223,0.8945213155739433,0.9052323932410238,0.9328594660022718,0.9579750220304446,0.993758668515947,0.9637736541224635,0.9785365096109073,0.9395043968197869,A_Drvo0000_0000-6
0.98107177734375,0.98107177734375,0.8764085640695428,0.9654670812907484,0.7774185967095519,0.5065636802155301,0.8836033254230257,0.9238422467881657,0.9914330541328039,0.9958724546803859,0.9955238063483592,0.9956980999441637,0.9994642856642764,0.7092011452310072,0.8883966244725676,0.7785652656230693,0.8298627076950714,0.7370086658511832,0.8104898954155833,0.8685186225492925,0.9238422467881657,0.895326615655396,0.9138013104178937,0.0,0.0,0.0,0.0,1.0,A_Drvo0003_0003-0
0.98973388671875,0.98973388671875,0.9443019099620639,0.980412819365059,0.8870142211616157,0.84532551298234,0.9097237272069182,0.9361218676992962,0.9921141693044037,0.9966579286859742,0.9954257864762619,0.9960414764792542,0.9984194867480566,0.8961401000714733,0.9293550778354268,0.9616476183170901,0.9452256191304651,0.8845562457216213,0.8889530466494426,0.9463586657607787,0.9361218676992962,0.9412124331825101,0.9699971989455375,0.7508833922261041,0.7708585247883452,0.9666413949961359,0.8577194752280746,0.8746177369535956,A_Drvo0003_0003-1
0.98140625,0.98140625,0.8904514477201702,0.9666140363881406,0.8043842200362674,0.5291838302332778,0.5542777716262322,0.9107690576019334,0.9907872720212968,0.9957859096090241,0.9949590722673232,0.9953723191785886,0.9975700771868219,0.7623934242099314,0.8815750634630092,0.8493828564928,0.8651796059755048,0.751387967482542,0.825158066489902,0.8977338917704465,0.9107690576019334,0.9042044977848931,0.9114453473961546,0.0,0.0,0.0,0.0,0.0,A_Drvo0003_0003-2
0.98562255859375,0.98562255859375,0.8628983764281419,0.9736710714328018,0.7575835645482322,0.4812575440637903,0.8678033418329432,0.9444083224967452,0.9938122170140087,0.996731598901817,0.9970614689452512,0.9968965065852845,0.9994555748628807,0.6346649484536024,0.9262493283180961,0.6684440135724607,0.7765076861948929,0.6777312751385068,0.8091076837377683,0.849570462438308,0.9444083224967452,0.8944826125783526,0.9256787503603225,0.0,0.0,0.0,0.0,1.0,A_Drvo0003_0003-3
