model,overall_accuracy,pixel_accuracy,pixel_accuracy_fg,frequency_weighted_iou,frequency_weighted_iou_fg,mean_iou,mean_boundary_f1,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support
unet_resnet34,0.9828,0.9828,0.926,0.9684,0.8626,0.6659,0.8168,0.9247,0.9913,0.7459,0.8787,0.3732,0.9951,0.9205,0.9247,0.4013,0.9941,0.7153,0.9393,0.7958
unet_efficientnet_b4_bs4,0.9842,0.9842,0.9312,0.971,0.872,0.6832,0.8202,0.9327,0.9919,0.751,0.8868,0.4117,0.9955,0.9098,0.9327,0.4366,0.9948,0.7273,0.9435,0.79
deeplabv3_resnet50,0.9808,0.9808,0.9227,0.9641,0.8574,0.6742,0.8436,0.9277,0.9865,0.7594,0.867,0.396,0.9929,0.8904,0.9277,0.4134,0.9944,0.7464,0.9459,0.8385
segformer_b1,0.9806,0.9806,0.9256,0.9641,0.858,0.6772,0.8422,0.927,0.9863,0.7602,0.8649,0.4066,0.992,0.901,0.927,0.4339,0.9921,0.7442,0.9419,0.8404
deeplabv3plus_mobilenetv2,0.9776,0.9776,0.9079,0.9585,0.8358,0.6476,0.8164,0.9131,0.9844,0.7342,0.8474,0.3611,0.9923,0.8699,0.9131,0.3884,0.9916,0.7183,0.9354,0.7954
esanet_resnet34,0.8198,0.8198,0.0057,0.6771,0.0057,0.0032,0.167,0.0068,0.8199,0.0012,0.0067,0.0017,1.0,0.0012,0.0068,0.0017,0.329,0.0022,0.0165,0.4821
