epoch,timestamp,elapsed_s,train_loss,val_loss,lr,mean_iou,mean_boundary_f1,overall_accuracy,branch_recall,iou_background,iou_trunk,iou_branches,iou_support,f1_background,f1_trunk,f1_branches,f1_support,precision_background,precision_trunk,precision_branches,precision_support,recall_background,recall_trunk,recall_branches,recall_support,boundary_f1_background,boundary_f1_trunk,boundary_f1_branches,boundary_f1_support,is_best
17,2026-05-05 16:50:33,36.5,0.111105,0.18572,9.31e-05,0.578433,0.827533,0.983457,0.948754,0.992775,0.688779,0.897018,0.149501,0.996374,0.806477,0.945427,0.165546,0.997508,0.79642,0.94275,0.170269,0.995243,0.832974,0.948754,0.164732,0.996604,0.655825,0.949307,0.877468,1
18,2026-05-05 16:51:10,36.5,0.099713,0.177583,9.23e-05,0.58516,0.826263,0.983438,0.935679,0.992925,0.695832,0.896985,0.162662,0.996449,0.812753,0.945442,0.177195,0.995839,0.787252,0.956129,0.180548,0.99706,0.858699,0.935679,0.180682,0.997037,0.665184,0.950638,0.862966,1
19,2026-05-05 16:51:47,36.6,0.106929,0.195276,9.14e-05,0.568037,0.816986,0.982991,0.936165,0.993053,0.683238,0.89492,0.125952,0.996513,0.802755,0.944263,0.143104,0.995811,0.787786,0.95317,0.155425,0.997217,0.83452,0.936165,0.144752,0.996925,0.652628,0.948101,0.850229,0
20,2026-05-05 16:52:24,36.7,0.106435,0.175729,9.05e-05,0.587997,0.801502,0.983553,0.956862,0.99272,0.693654,0.898532,0.171804,0.996346,0.811823,0.946321,0.189313,0.998042,0.823676,0.936667,0.199786,0.994656,0.813818,0.956862,0.194568,0.996666,0.664542,0.949694,0.790271,1
21,2026-05-05 16:53:01,36.6,0.108418,0.183848,8.96e-05,0.586075,0.794251,0.983475,0.938406,0.993251,0.696315,0.897058,0.16485,0.996613,0.813311,0.945487,0.18112,0.997158,0.773275,0.953383,0.191298,0.996069,0.875241,0.938406,0.183726,0.996713,0.664224,0.949192,0.769335,0
22,2026-05-05 16:53:38,36.7,0.105279,0.234588,8.86e-05,0.570274,0.594903,0.95798,0.955158,0.961332,0.707476,0.875162,0.128184,0.980004,0.821675,0.932915,0.143504,0.998542,0.806812,0.912874,0.133565,0.962695,0.851361,0.955158,0.184833,0.959343,0.676398,0.934775,0.173536,0
23,2026-05-05 16:54:14,36.6,0.101489,0.178797,8.76e-05,0.575212,0.789333,0.98382,0.952306,0.993122,0.663267,0.89865,0.163719,0.996548,0.785484,0.946392,0.179331,0.995749,0.85367,0.941309,0.19598,0.997349,0.755341,0.952306,0.179408,0.997379,0.645936,0.95008,0.771983,0
24,2026-05-05 16:54:51,36.6,0.096747,0.180076,8.66e-05,0.58279,0.823396,0.983762,0.949862,0.993043,0.695338,0.898078,0.154955,0.996508,0.811758,0.94607,0.172114,0.998197,0.796255,0.943055,0.185642,0.994826,0.84606,0.949862,0.173173,0.99715,0.669561,0.950242,0.850385,0
25,2026-05-05 16:55:28,36.7,0.096048,0.176987,8.55e-05,0.585018,0.786792,0.983153,0.947451,0.992648,0.688167,0.895407,0.171481,0.99631,0.802692,0.944576,0.186751,0.998267,0.789091,0.942467,0.187677,0.994361,0.84614,0.947451,0.194552,0.996533,0.66141,0.949883,0.749084,0
26,2026-05-05 16:56:04,36.6,0.099859,0.166041,8.44e-05,0.597105,0.816003,0.984992,0.949489,0.993781,0.708646,0.906317,0.176352,0.99688,0.822271,0.950646,0.191754,0.997269,0.816428,0.952443,0.201695,0.996492,0.845161,0.949489,0.195129,0.99748,0.684229,0.953866,0.809913,1
27,2026-05-05 16:56:42,36.6,0.099115,0.170755,8.32e-05,0.592245,0.802219,0.984532,0.940121,0.993898,0.702641,0.903092,0.171001,0.996939,0.818111,0.948846,0.184054,0.99638,0.798865,0.958413,0.183334,0.997498,0.855092,0.940121,0.186989,0.997564,0.670745,0.951791,0.78412,0
28,2026-05-05 16:57:18,36.5,0.094367,0.168577,8.21e-05,0.591991,0.816833,0.983804,0.939489,0.992812,0.706907,0.898834,0.17023,0.996392,0.821269,0.94649,0.18367,0.996054,0.805141,0.954276,0.179365,0.996731,0.854238,0.939489,0.190054,0.996682,0.674136,0.949999,0.826365,0
29,2026-05-05 16:57:54,35.9,0.09996,0.179934,8.08e-05,0.582046,0.816859,0.98422,0.953207,0.993387,0.693449,0.901122,0.151566,0.996682,0.808695,0.947756,0.167077,0.998432,0.807249,0.943136,0.168728,0.994939,0.835627,0.953207,0.169707,0.997013,0.661353,0.950167,0.839057,0
30,2026-05-05 16:58:30,35.5,0.098547,0.17053,7.96e-05,0.587187,0.810664,0.983993,0.933603,0.99302,0.692482,0.898544,0.170534,0.996497,0.808464,0.946329,0.183814,0.994866,0.804069,0.960187,0.185995,0.998133,0.839668,0.933603,0.183872,0.997566,0.668646,0.952452,0.810893,0
31,2026-05-05 16:59:05,35.7,0.094672,0.180671,7.83e-05,0.582272,0.772517,0.982026,0.925242,0.993238,0.686505,0.888964,0.171347,0.996607,0.805419,0.940874,0.187916,0.998561,0.72591,0.957943,0.194307,0.994661,0.92866,0.925242,0.195051,0.995449,0.645445,0.944979,0.727126,0
32,2026-05-05 16:59:41,35.6,0.094093,0.174627,7.70e-05,0.585164,0.820312,0.983777,0.94253,0.993641,0.68659,0.899082,0.169821,0.996809,0.80038,0.946602,0.186237,0.997974,0.767199,0.951627,0.202034,0.995649,0.859282,0.94253,0.189485,0.997648,0.655911,0.951355,0.853669,0
33,2026-05-05 17:00:17,35.5,0.092482,0.166116,7.57e-05,0.592447,0.829201,0.98557,0.95442,0.994141,0.696053,0.908904,0.172383,0.997061,0.806837,0.952074,0.185331,0.996785,0.835637,0.950462,0.193555,0.997338,0.801373,0.95442,0.190617,0.997843,0.672453,0.95426,0.86089,0
34,2026-05-05 17:00:52,35.7,0.086893,0.169091,7.43e-05,0.594557,0.787404,0.983349,0.941593,0.993028,0.699839,0.896094,0.187739,0.996501,0.815124,0.944925,0.206788,0.998594,0.764698,0.948921,0.205536,0.994417,0.890381,0.941593,0.21219,0.997203,0.66375,0.950114,0.748347,0
35,2026-05-05 17:01:28,35.6,0.085404,0.174534,7.30e-05,0.58619,0.827748,0.98488,0.944504,0.994004,0.694968,0.903653,0.159949,0.996992,0.808793,0.949147,0.172408,0.99712,0.802479,0.954741,0.170189,0.996865,0.843494,0.944504,0.176572,0.997686,0.660958,0.951953,0.870333,0
36,2026-05-05 17:02:04,35.8,0.09882,0.171298,7.16e-05,0.589244,0.796727,0.984511,0.942534,0.994092,0.689505,0.902452,0.175776,0.997036,0.807557,0.948462,0.192282,0.996436,0.803524,0.9552,0.201856,0.997638,0.830306,0.942534,0.19295,0.997737,0.667646,0.951603,0.770931,0
37,2026-05-05 17:02:39,35.7,0.091442,0.167632,7.02e-05,0.592219,0.824469,0.984652,0.938488,0.994529,0.694727,0.902226,0.179704,0.997256,0.811971,0.94835,0.195765,0.997809,0.771176,0.959265,0.203193,0.996705,0.877405,0.938488,0.197058,0.997702,0.660839,0.950809,0.86176,0
38,2026-05-05 17:03:15,35.6,0.086157,0.166334,6.87e-05,0.592511,0.83266,0.985405,0.95515,0.99436,0.695557,0.907886,0.174088,0.997171,0.809413,0.951493,0.187331,0.997791,0.827227,0.948729,0.194946,0.996552,0.820679,0.95515,0.190658,0.997866,0.677937,0.954214,0.865831,0
39,2026-05-05 17:03:50,35.6,0.087083,0.167425,6.73e-05,0.590014,0.834424,0.985309,0.953433,0.994555,0.686054,0.906674,0.177315,0.99727,0.802238,0.950819,0.190639,0.997625,0.817266,0.949114,0.207359,0.996915,0.814831,0.953433,0.193015,0.997906,0.662634,0.954107,0.886532,0
40,2026-05-05 17:04:26,35.6,0.079894,0.19534,6.58e-05,0.58385,0.660475,0.978956,0.959307,0.985759,0.717795,0.881284,0.15247,0.992808,0.82908,0.936474,0.174693,0.99833,0.833667,0.915878,0.163588,0.987389,0.839812,0.959307,0.202527,0.967725,0.696593,0.928234,0.356599,0
41,2026-05-05 17:05:02,35.9,0.087553,0.176127,6.43e-05,0.595861,0.775689,0.98516,0.958403,0.993622,0.705693,0.90645,0.175439,0.9968,0.820223,0.950745,0.193745,0.998335,0.830729,0.943899,0.199121,0.995271,0.828017,0.958403,0.19723,0.995594,0.686895,0.951916,0.688257,0
